"src","dest","direction"
"597","5366","undirected"
"10018","2969","undirected"
"10018","4170","undirected"
"10018","7416","undirected"
"604","1387","undirected"
"604","3066","undirected"
"604","3725","undirected"
"604","3727","undirected"
"604","9611","undirected"
"604","9612","undirected"
"604","25942","undirected"
"624","4842","undirected"
"637","843","undirected"
"637","836","undirected"
"637","841","undirected"
"637","356","undirected"
"637","83737","undirected"
"637","5599","undirected"
"637","4170","undirected"
"637","387","undirected"
"637","7132","undirected"
"329","332","undirected"
"329","836","undirected"
"329","841","undirected"
"329","7184","undirected"
"329","5894","undirected"
"329","8737","undirected"
"329","7132","undirected"
"329","7185","undirected"
"329","7186","undirected"
"330","332","undirected"
"330","836","undirected"
"330","5894","undirected"
"330","8737","undirected"
"330","7132","undirected"
"330","7185","undirected"
"330","7186","undirected"
"332","836","undirected"
"332","1017","undirected"
"332","1019","undirected"
"332","3763","undirected"
"29760","973","undirected"
"29760","1399","undirected"
"29760","2885","undirected"
"29760","11184","undirected"
"29760","4690","undirected"
"29760","5777","undirected"
"29760","7409","undirected"
"650","657","undirected"
"650","658","undirected"
"650","659","undirected"
"650","1280","undirected"
"652","657","undirected"
"652","658","undirected"
"652","659","undirected"
"654","657","undirected"
"654","659","undirected"
"655","657","undirected"
"655","658","undirected"
"655","659","undirected"
"655","9241","undirected"
"655","4086","undirected"
"655","4088","undirected"
"657","658","undirected"
"657","659","undirected"
"657","392255","undirected"
"657","4092","undirected"
"658","659","undirected"
"658","392255","undirected"
"658","7189","undirected"
"659","392255","undirected"
"673","3265","undirected"
"673","5595","undirected"
"673","22808","undirected"
"673","5062","undirected"
"673","5894","undirected"
"673","5906","undirected"
"673","2810","undirected"
"673","7532","undirected"
"673","10971","undirected"
"673","7534","undirected"
"81617","6794","undirected"
"773","785","undirected"
"774","2775","undirected"
"775","784","undirected"
"10369","1739","undirected"
"10369","1742","undirected"
"10369","2890","undirected"
"10369","2891","undirected"
"10369","2893","undirected"
"801","10645","undirected"
"801","890","undirected"
"801","2868","undirected"
"801","2869","undirected"
"801","4137","undirected"
"801","4638","undirected"
"801","4988","undirected"
"801","5136","undirected"
"808","815","undirected"
"51806","10971","undirected"
"8536","10645","undirected"
"815","816","undirected"
"815","817","undirected"
"815","1385","undirected"
"815","1739","undirected"
"815","28964","undirected"
"815","10971","undirected"
"10645","2318","undirected"
"10645","5563","undirected"
"10645","5566","undirected"
"10645","5571","undirected"
"84433","5170","undirected"
"84674","22900","undirected"
"84674","10392","undirected"
"834","843","undirected"
"834","841","undirected"
"834","1956","undirected"
"834","10392","undirected"
"834","64127","undirected"
"843","836","undirected"
"843","841","undirected"
"843","8837","undirected"
"843","356","undirected"
"843","9020","undirected"
"843","5599","undirected"
"843","387","undirected"
"843","8737","undirected"
"843","7132","undirected"
"843","7185","undirected"
"836","841","undirected"
"836","8837","undirected"
"836","23291","undirected"
"836","9020","undirected"
"836","4170","undirected"
"836","7187","undirected"
"841","8837","undirected"
"841","1147","undirected"
"841","356","undirected"
"841","3551","undirected"
"841","9020","undirected"
"841","5599","undirected"
"841","10392","undirected"
"841","10928","undirected"
"841","387","undirected"
"841","8737","undirected"
"841","7132","undirected"
"841","8717","undirected"
"841","7185","undirected"
"841","7186","undirected"
"867","1398","undirected"
"867","1399","undirected"
"867","1436","undirected"
"867","1445","undirected"
"867","1956","undirected"
"867","10818","undirected"
"867","2885","undirected"
"867","3480","undirected"
"867","3636","undirected"
"867","3678","undirected"
"867","3702","undirected"
"867","3791","undirected"
"867","3815","undirected"
"867","3937","undirected"
"867","4067","undirected"
"867","4233","undirected"
"867","4690","undirected"
"867","4851","undirected"
"867","5156","undirected"
"867","5290","undirected"
"867","5295","undirected"
"867","5296","undirected"
"867","2185","undirected"
"867","5781","undirected"
"867","5777","undirected"
"867","6850","undirected"
"867","7297","undirected"
"867","7409","undirected"
"867","10971","undirected"
"867","7534","undirected"
"867","7535","undirected"
"23624","1398","undirected"
"23624","1956","undirected"
"23624","83737","undirected"
"23624","4067","undirected"
"873","1956","undirected"
"873","5564","undirected"
"6356","1232","undirected"
"6361","7412","undirected"
"6362","7157","undirected"
"6347","6352","undirected"
"6347","1232","undirected"
"6364","1235","undirected"
"6368","1230","undirected"
"6370","2826","undirected"
"6348","6351","undirected"
"6348","1233","undirected"
"6348","1234","undirected"
"6352","1230","undirected"
"6352","1232","undirected"
"6352","1233","undirected"
"6352","1234","undirected"
"6354","1230","undirected"
"6354","1232","undirected"
"6354","4313","undirected"
"8900","1017","undirected"
"8900","1027","undirected"
"8900","5934","undirected"
"8900","6502","undirected"
"8900","6667","undirected"
"890","1017","undirected"
"890","1026","undirected"
"890","1027","undirected"
"890","5934","undirected"
"890","6502","undirected"
"890","6667","undirected"
"890","7157","undirected"
"891","1017","undirected"
"891","1026","undirected"
"891","4616","undirected"
"891","10928","undirected"
"891","7048","undirected"
"9133","7048","undirected"
"595","1019","undirected"
"595","1021","undirected"
"595","1026","undirected"
"595","1027","undirected"
"595","1029","undirected"
"595","8454","undirected"
"595","3066","undirected"
"595","8841","undirected"
"595","3312","undirected"
"595","5594","undirected"
"595","5600","undirected"
"595","8648","undirected"
"595","6774","undirected"
"595","7067","undirected"
"595","7068","undirected"
"595","7249","undirected"
"894","1019","undirected"
"894","1021","undirected"
"894","1026","undirected"
"894","1027","undirected"
"894","1029","undirected"
"894","7249","undirected"
"898","1017","undirected"
"898","1026","undirected"
"898","1027","undirected"
"898","8452","undirected"
